ISO,Name,reg11,reg33,reg11_G20,OECD
ABW,Aruba,LAM,,LAM,
AFG,Afghanistan,OAS,PAK,OAS,
AGO,Angola,AFR,SSA-M,AFR,
AIA,Anguilla,LAM,,LAM,
AIR,Int. Aviation,INTair,,INTair,
ALB,Albania,ROW,EEU,ROW,
ANT,Netherlands Antilles,LAM,LAM-M,LAM,
ARE,United Arab Emirates,MEA,MEA-H,MEA,
ARG,Argentina,LAM,LAM-M,ARG,
ARM,Armenia,MEA,CAS,FSU,
ASM,American Samoa,OAS,,OAS,
ATA,Antarctica,NOT,,NA,
ATF,French Southern Territories,AFR,,AFR,
ATG,Antigua and Barbuda,LAM,LAM-M,LAM,
AUS,Australia,ROW,AUNZ,AUS,AUS
AUT,Austria,EUR,EU15,EUR,AUT
AZE,Azerbaijan,MEA,CAS,FSU,
BDI,Burundi,AFR,SSA-L,AFR,
BEL,Belgium,EUR,EU15,EUR,BEL
BEN,Benin,AFR,SSA-L,AFR,
BFA,Burkina Faso,AFR,SSA-L,AFR,
BGD,Bangladesh,OAS,OAS-L,OAS,
BGR,Bulgaria,EUR,EU12-M,EUR,
BHR,Bahrain,MEA,MEA-H,MEA,
BHS,Bahamas,LAM,LAM-M,LAM,
BIH,Bosnia and Herzegovi,ROW,EEU,ROW,
BLR,Belarus,ROW,EEU-FSU,FSU,
BLZ,Belize,LAM,LAM-L,LAM,
BMU,Bermuda,LAM,LAM-M,LAM,
BOL,Bolivia,LAM,LAM-M,LAM,
BRA,Brazil,LAM,BRA,BRA,
BRB,Barbados,LAM,LAM-M,LAM,
BRN,Brunei Darussalam,OAS,OAS-M,OAS,
BTN,Bhutan,OAS,OAS-M,OAS,
BVT,Bouvet Island,LAM,,LAM,
BWA,Botswana,AFR,SSA-M,AFR,
CAF,Central African Republic,AFR,SSA-L,AFR,
CAN,Cada,ROW,CAN,CAN,CAN
CCK,Cocos (Keeling) Islands,ROW,,ROW,
CHE,Switzerland,ROW,EFTA,ROW,
CHL,Chile,LAM,LAM-M,LAM,
CHN,Chi,CHN,CHN,CHN,
CIV,Cote d'Ivoire,AFR,SSA-L,AFR,
CMR,Cameroon,AFR,SSA-L,AFR,
COD,Congo_the Democratic Republic of the,AFR,SSA-L,AFR,
COG,Congo,AFR,SSA-L,AFR,
COK,Cook Islands,OAS,,OAS,
COL,Colombia,LAM,LAM-M,LAM,
COM,Comoros,AFR,SSA-L,AFR,
CPV,Cape Verde,AFR,SSA-L,AFR,
CRI,Costa Rica,LAM,LAM-M,LAM,
CUB,Cuba,LAM,LAM-M,LAM,
CXR,Christmas Island,ROW,,ROW,
CYM,Cayman Islands,LAM,,LAM,
CYP,Cyprus,EUR,EU12-H,EUR,
CZE,Czech Republic,EUR,EU12-H,EUR,
DEU,Germany,EUR,EU15,DEU,DEU
DJI,Djibouti,AFR,SSA-L,AFR,
DMA,Dominica,LAM,LAM-M,LAM,
DNK,Denmark,EUR,EU15,EUR,DNK
DOM,Dominican Republic,LAM,LAM-M,LAM,
DZA,Algeria,MEA,NAF,MEA,
ECU,Ecuador,LAM,LAM-M,LAM,
EGY,Egypt,MEA,NAF,MEA,
ERI,Eritrea,AFR,SSA-L,AFR,
ESH,Western Sahara,MEA,NAF,MEA,
ESP,Spain,EUR,EU15,EUR,ESP
EST,Estonia,EUR,EU12-H,FSU,
ETH,Ethiopia,AFR,SSA-L,AFR,
FIN,Finland,EUR,EU15,EUR,
FJI,Fiji,OAS,OAS-L,OAS,
FLK,Falkland Islands (Malvis),LAM,,LAM,
FRA,France,EUR,EU15,FRA,FRA
FRO,Faroe Islands,ROW,,ROW,
FSM,"Micronesia, Federated States of",OAS,OAS-L,OAS,
GAB,Gabon,AFR,SSA-M,AFR,
GBR,United Kingdom,EUR,EU15,GBR,GBR
GEO,Georgia,MEA,CAS,FSU,
GHA,Ghana,AFR,SSA-L,AFR,
GIB,Gibraltar,EUR,,EUR,
GIN,Guinea,AFR,SSA-L,AFR,
GLP,Guadeloupe,LAM,LAM-M,LAM,
GMB,Gambia,AFR,SSA-L,AFR,
GNB,Guinea-Bissau,AFR,SSA-L,AFR,
GNQ,Equatorial Guinea,AFR,SSA-M,AFR,
GRC,Greece,EUR,EU15,EUR,GRC
GRD,Grenada,LAM,LAM-M,LAM,
GRL,Greenland,EUR,,EUR,
GTM,Guatemala,LAM,LAM-L,LAM,
GUF,French Guia,LAM,LAM-M,LAM,
GUM,Guam,OAS,OAS-M,OAS,
GUY,Guyana,LAM,LAM-M,LAM,
HKG,Hong Kong,CHN,CHN,CHN,
HMD,Heard Island and McDold Islands,ROW,,ROW,
HND,Honduras,LAM,LAM-L,LAM,
HRV,Croatia,ROW,EEU,ROW,
HTI,Haiti,LAM,LAM-L,LAM,
HUN,Hungary,EUR,EU12-H,EUR,
IDN,Indonesia,OAS,IDN,IDN,
IND,India,IND,IND,IND,
IOT,British Indian Ocean Territory,AFR,,AFR,
IRL,Ireland,EUR,EU15,EUR,IRL
IRN,"Iran, Islamic Republic of",MEA,MEA-M,MEA,
IRQ,Iraq,MEA,MEA-M,MEA,
ISL,Iceland,ROW,EFTA,ROW,ISL
ISR,Israel,MEA,MEA-H,MEA,
ITA,Italy,EUR,EU15,ITA,ITA
JAM,Jamaica,LAM,LAM-M,LAM,
JOR,Jordan,MEA,MEA-M,MEA,
JPN,Japan,JPN,JPN,JPN,
KAZ,Kazakhstan,MEA,CAS,FSU,
KEN,Kenya,AFR,SSA-L,AFR,
KGZ,Kyrgyzstan,MEA,CAS,FSU,
KHM,Cambodia,OAS,OAS-CPA,OAS,
KIR,Kiribati,OAS,,OAS,
K,Saint Kitts and Nevis,LAM,LAM-M,LAM,
KOR,"Korea, Republic of",OAS,KOR,KOR,
KWT,Kuwait,MEA,MEA-H,MEA,
LAO,Lao People's Democratic Republic,OAS,OAS-CPA,OAS,
LBN,Lebanon,MEA,MEA-M,MEA,
LBR,Liberia,AFR,SSA-L,AFR,
LBY,Libyan Arab Jamahiriya,MEA,NAF,MEA,
LCA,Saint Lucia,LAM,LAM-M,LAM,
LKA,Sri Lanka,OAS,OAS-M,OAS,
LSO,Lesotho,AFR,SSA-L,AFR,
LTU,Lithuania,EUR,EU12-M,FSU,
LUX,Luxembourg,EUR,EU15,EUR,LUX
LVA,Latvia,EUR,EU12-M,FSU,
MAC,Macao,CHN,CHN,CHN,
MAR,Morocco,MEA,NAF,MEA,
MDA,"Moldova, Republic of",ROW,EEU-FSU,FSU,
MDG,Madagascar,AFR,SSA-L,AFR,
MDV,Maldives,OAS,OAS-M,OAS,
MEX,Mexico,LAM,MEX,MEX,
MHL,Marshall Islands,OAS,,OAS,
MKD,"Macedonia, the former Yugoslav Republic of",ROW,EEU,ROW,
MLI,Mali,AFR,SSA-L,AFR,
MLT,Malta,EUR,EU12-H,EUR,
MMR,Myanmar,OAS,OAS-L,OAS,
MNG,Mongolia,OAS,OAS-CPA,OAS,
MNP,Northern Maria Islands,OAS,,OAS,
MOZ,Mozambique,AFR,SSA-L,AFR,
MRT,Mauritania,AFR,SSA-L,AFR,
MSR,Montserrat,LAM,,LAM,
MTQ,Martinique,LAM,LAM-M,LAM,
MUS,Mauritius,AFR,SSA-M,AFR,
MWI,Malawi,AFR,SSA-L,AFR,
MYS,Malaysia,OAS,OAS-M,OAS,
MYT,Mayotte,AFR,SSA-M,AFR,
NAM,Namibia,AFR,SSA-M,AFR,
NCL,New Caledonia,OAS,OAS-M,OAS,
NER,Niger,AFR,SSA-L,AFR,
NFK,Norfolk Island,ROW,,ROW,
NGA,Nigeria,AFR,SSA-L,AFR,
NIC,Nicaragua,LAM,LAM-L,LAM,
NIU,Niue,OAS,,OAS,
NLD,Netherlands,EUR,EU15,EUR,NLD
NOR,Norway,ROW,EFTA,ROW,NOR
NPL,Nepal,OAS,OAS-L,OAS,
NRU,Nauru,OAS,,OAS,
NZL,New Zealand,ROW,AUNZ,ROW,
OMN,Oman,MEA,MEA-H,MEA,
PAK,Pakistan,MEA,PAK,MEA,
PAN,Panama,LAM,LAM-M,LAM,
PCN,Pitcairn,OAS,,OAS,
PER,Peru,LAM,LAM-M,LAM,
PHL,Philippines,OAS,OAS-L,OAS,
PLW,Palau,OAS,,OAS,
PNG,Papua New Guinea,OAS,OAS-L,OAS,
POL,Poland,EUR,EU12-H,EUR,
PRI,Puerto Rico,LAM,USA,LAM,
PRK,"Korea, Democratic People's Republic of",OAS,OAS-L,OAS,
PRT,Portugal,EUR,EU15,EUR,PRT
PRY,Paraguay,LAM,LAM-M,LAM,
PYF,French Polynesia,OAS,OAS-M,OAS,
QAT,Qatar,MEA,MEA-H,MEA,
REU,Reunion,AFR,SSA-M,AFR,
ROU,Romania,EUR,EU12-M,EUR,
RUS,Russian Federation,RUS,RUS,FSU,
RWA,Rwanda,AFR,SSA-L,AFR,
SAU,Saudi Arabia,MEA,MEA-H,MEA,
SCG,Serbia and Montenegro,ROW,EEU,ROW,
SDN,Sudan,AFR,SSA-L,AFR,
SEA,Int. Shipping,INTship,,INTship,
SEN,Senegal,AFR,SSA-L,AFR,
SGP,Singapore,OAS,OAS-M,OAS,
SGS,South Georgia and the South Sandwich Islands,LAM,,LAM,
SHN,Saint Helena,AFR,,AFR,
SLB,Solomon Islands,OAS,OAS-L,OAS,
SLE,Sierra Leone,AFR,SSA-L,AFR,
SLV,El Salvador,LAM,LAM-M,LAM,
SOM,Somalia,AFR,SSA-L,AFR,
SPM,Saint Pierre and Miquelon,USA,,,
STP,Sao Tome and Principe,AFR,SSA-L,AFR,
SUR,Suriname,LAM,LAM-M,LAM,
SVK,Slovakia,EUR,EU12-H,EUR,
SVN,Slovenia,EUR,EU12-H,EUR,
SWE,Sweden,EUR,EU15,EUR,SWE
SWZ,Swaziland,AFR,SSA-L,AFR,
SYC,Seychelles,AFR,,AFR,
SYR,Syrian Arab Republic,MEA,MEA-M,MEA,
TCA,Turks and Caicos Islands,LAM,,LAM,
TCD,Chad,AFR,SSA-L,AFR,
TGO,Togo,AFR,SSA-L,AFR,
THA,Thailand,OAS,OAS-M,OAS,
TJK,Tajikistan,MEA,CAS,FSU,
TKL,Tokelau,ROW,,ROW,
TKM,Turkmenistan,MEA,CAS,FSU,
TLS,Timor-Leste,OAS,OAS-L,OAS,
TON,Tonga,OAS,OAS-L,OAS,
TTO,Trinidad and Tobago,LAM,LAM-M,LAM,
TUN,Tunisia,MEA,NAF,MEA,
TUR,Turkey,ROW,TUR,TUR,TUR
TUV,Tuvalu,OAS,,OAS,
TWN,Taiwan_Province of Chi,OAS,TWN,OAS,
TZA,Tanzania_United Republic of,AFR,SSA-L,AFR,
UGA,Uganda,AFR,SSA-L,AFR,
UKR,Ukraine,ROW,EEU-FSU,FSU,
UMI,United States Minor Outlying Islands,USA,,,
URY,Uruguay,LAM,LAM-M,LAM,
USA,United States,USA,USA,USA,USA
UZB,Uzbekistan,MEA,CAS,FSU,
VCT,Saint Vincent and the Gredines,LAM,LAM-M,LAM,
VEN,Venezuela,LAM,LAM-M,LAM,
VGB,Virgin Islands_British,LAM,,LAM,
VIR,Virgin Islands_USA,LAM,USA,LAM,
VNM,Vietnam,OAS,OAS-CPA,OAS,
VUT,Vanuatu,OAS,OAS-L,OAS,
WLF,Wallis and Futu,OAS,,OAS,
WSM,Samoa,OAS,OAS-L,OAS,
YEM,Yemen,MEA,MEA-M,MEA,
ZAF,South Africa,ROW,SAF,ZAF,
ZMB,Zambia,AFR,SSA-L,AFR,
ZWE,Zimbabwe,AFR,SSA-L,AFR,
WLD,World,glob,glob,glob,
